po_number,deal_id_x,order_created,total_deal_quantity,amount_in_company_currency,client_type_x,deal_type_x,special_order_type,deal_stage,automation_tools,revisions,deal_source_ca,number_of_associated_contacts,design_difficulty,SKU,chassis,total_intl_product_quantity,mfp_product_info,vendor_id,est_ship_date,submitted_to_prod,client_type_y,deal_type_y,deal_id_y,Total SKU DZ on PO,intl_unit_cost,fixed_intl_pkg_cost,total_intl_unit_cost_dont_use,total_intl_sku_cost,cost_per_sku,total_sku_cost,gross_margin
21408,6324219821,9/28/2021,60.0,832.2,Direct,Existing Business,,Closed and Won,Reorder Button,,,3,,40.0217365v4,40.0,0.0,18.0,1.0,,2022-01-29,,,,5.0,,,0.0,0.0,2.56,184.32,0.7785147801009373
21546,6312709524,9/27/2021,60.0,630.0,Distributor,Existing Business,,Closed and Won,,,Client Referral,3,Low ,10.0362603v1,10.0,0.0,2.0,1.0,,2022-01-14,,,,5.0,,,0.0,0.0,2.56,184.32,0.7074285714285714
23021,6954332007,11/18/2021,1000.0,6460.0,Distributor,Existing Business,,Closed and Won,,,,4,Not Rated,10.0465011v4,10.0,0.0,2.0,1.0,,2022-01-13,,,,84.0,,,0.0,0.0,1.96,1973.76,0.6944643962848297
23099,7049269626,11/30/2021,60.0,540.0,Distributor,Existing Business,,Closed and Won,,,Pre-Hubspot Contact,3,,10.0219132v2,10.0,0.0,2.0,1.0,,2022-01-04,,,,5.0,,,0.0,0.0,2.56,184.32,0.6586666666666667
23341,7229722885,12/12/2021,720.0,4456.8,Distributor,Existing Business,,Closed and Won,,,Client Referral,5,,10.0262664v1,10.0,0.0,2.0,3.0,,2022-01-04,,,,60.0,,,0.0,0.0,1.91,1398.12,0.6862950996230479
23350,7228918695,12/12/2021,720.0,4456.8,Distributor,Existing Business,,Closed and Won,,,Client Referral,5,,10.0261832v2,10.0,0.0,2.0,3.0,,2022-01-04,,,,60.0,,,0.0,0.0,1.91,1398.12,0.6862950996230479
23409,7206692764,12/9/2021,135.0,1138.05,Distributor,New Business,,Closed and Won,,,,1,High Res Preview,40.0268455v1,40.0,0.0,18.0,3.0,,2022-02-08,,,,12.0,,,0.0,0.0,2.49,388.44,0.6586793198892842
23431,7268646927,12/16/2021,22500.0,101574.25,Distributor,Existing Business,,Closed and Won,Reorder Button,,Pre-Hubspot Contact,5,,10.0248287v1,10.0,0.0,2.0,1.0,,2022-01-07,,,,1875.0,,,0.0,0.0,1.56,35156.16,0.6538870826021358
23510,7305533188,12/21/2021,60.0,570.0,Distributor,Existing Business,,Closed and Won,Reorder Button,,Client Referral,3,,10.0216936v1,10.0,0.0,2.0,1.0,,2022-01-14,,,,5.0,,,0.0,0.0,2.56,184.32,0.6766315789473685
23539,7316547975,12/22/2021,1200.0,7008.0,Distributor,Existing Business,,Closed and Won,Portal Order,,,2,,10.0233487v3,10.0,0.0,2.0,1.0,,2022-01-14,,,,100.0,,,0.0,0.0,1.71,2072.52,0.7042636986301369
