po_number,deal_id_x,order_created,total_deal_quantity,amount_in_company_currency,client_type_x,deal_type_x,special_order_type,deal_stage,automation_tools,revisions,deal_source_ca,number_of_associated_contacts,design_difficulty,SKU,chassis,total_intl_product_quantity,mfp_product_info,vendor_id,est_ship_date,submitted_to_prod,client_type_y,deal_type_y,deal_id_y,Total SKU DZ on PO,intl_unit_cost,fixed_intl_pkg_cost,dont_use_total_intl_unit_cost,total_intl_sku_cost,cost_per_sku,total_sku_cost,gross_margin,month,year
26312,7258923049,12/15/2021,750.0,6040.0,Distributor,Existing Business,,Closed and Won,,,Client Referral,4,Low ,55.02122345v8,55.0,0.0,114.0,1.0,,2023-01-20,,,,64.0,,,0.0,0.0,1.96,1552.3200000000002,0.7429933774834437,1,2023
29349,9897009813,8/22/2022,750.0,7312.28,Direct,New Business,,Closed and Won,3D Builder,,Organic Search,1,High Res Preview,10.02111566v1,10.0,0.0,2.0,4.0,,2023-01-19,,,,63.0,,,0.0,0.0,2.01,1543.68,0.7888921102583598,1,2023
31314,10995064705,11/18/2022,120.0,1515.93,Direct,Existing Business,,Closed and Won,Reorder Button,,Direct Traffic,2,,10.02124485v1,10.0,0.0,2.0,3.0,,2023-03-21,,,,10.0,,,0.0,0.0,2.72,359.04,0.7631552908115811,3,2023
31432,11042755200,11/22/2022,148.0,1332.0,Distributor,Existing Business,,Closed and Won,,,Pre-Hubspot Contact,2,High Res Preview,10.02132759v1,10.0,0.0,2.0,3.0,,2023-01-24,,,,13.0,,,0.0,0.0,2.54,426.72,0.6796396396396396,1,2023
31662,10476704066,10/6/2022,120.0,1329.0,Wholesale,New Business,,Payment Pending,,,Pre-Hubspot Contact,1,Not Rated,10.02118455v1,10.0,0.0,2.0,4.0,,2023-01-03,,,,10.0,,,0.0,0.0,2.83,419.76,0.6841534988713318,1,2023
31982,11290550601,12/9/2022,147.0,1359.75,Distributor,Existing Business,,Closed and Won,,,Pre-Hubspot Contact,2,Low ,10.02131625v1,10.0,0.0,2.0,1.0,,2023-01-25,,,,13.0,,,0.0,0.0,1.96,329.28,0.7578378378378379,1,2023
32053,11733876258,1/17/2023,1840.0,1400.4,Direct,Existing Business,,Closed and Won,Portal Order,,Client Referral,2,,10.02126525v4,10.0,0.0,2.0,4.0,,2023-02-03,,,,156.0,,,0.0,0.0,2.71,4764.24,-2.4020565552699225,2,2023
32178,11372564350,12/16/2022,200.0,1920.0,Distributor,Existing Business,,Closed and Won,,,Client Referral,3,Low ,55.02136287v4,55.0,0.0,114.0,1.0,,2023-01-23,,,,17.0,,,0.0,0.0,1.96,423.36,0.7795,1,2023
32197,11191963568,12/2/2022,500.0,4990.0,Direct,Existing Business,,Closed and Won,,,Client Referral,3,High Res Preview,10.02133258v1,10.0,0.0,2.0,3.0,,2023-01-03,,,,42.0,,,0.0,0.0,2.54,1310.64,0.7373466933867735,1,2023
32199,11412733699,12/20/2022,1775.0,15073.75,Direct,Existing Business,,Closed and Won,Portal Order,,Email Marketing,1,,10.0244586v1,10.0,0.0,2.0,3.0,,2023-01-04,,,,148.0,,,0.0,0.0,2.01,3593.88,0.7615802305332117,1,2023
