automation_tools,amount_in_company_currency_mean,amount_in_company_currency_median,amount_in_company_currency_max,amount_in_company_currency_min,amount_in_company_currency_sum,amount_in_company_currency_std,total_deal_quantity_mean,total_deal_quantity_median,total_deal_quantity_max,total_deal_quantity_min,total_deal_quantity_sum,total_deal_quantity_std,total_sku_cost_mean,total_sku_cost_median,total_sku_cost_max,total_sku_cost_min,total_sku_cost_sum,total_sku_cost_std,gross_margin_mean,gross_margin_median,gross_margin_max,gross_margin_min,gross_margin_sum,gross_margin_std
3D Builder,2278.75,1520.40,27214.29,0.00,749709.41,2820.09,192.12,120.00,2800.00,0.00,63206.00,330.00,507.71,342.00,5692.32,126.00,167036.68,642.31,0.77,0.78,0.91,-0.46,252.48,0.09
Intake 2.0 Edward,935.10,935.10,1182.00,688.20,1870.20,349.17,90.00,90.00,120.00,60.00,180.00,42.43,249.06,249.06,294.36,203.76,498.12,64.06,0.73,0.73,0.75,0.70,1.45,0.03
Intake 3.0,2203.19,1520.40,17575.05,569.70,742473.43,2221.70,190.72,120.00,2750.00,0.00,64273.00,257.24,483.20,329.28,4435.20,122.88,162837.32,484.61,0.77,0.78,0.94,0.55,260.22,0.05
Intake 4.0 Logged In,2228.97,1520.40,24350.00,385.80,956226.36,2349.61,202.92,120.00,3000.00,0.00,87053.00,273.17,526.11,357.72,5180.64,122.88,225699.21,523.08,0.74,0.75,0.93,0.48,318.43,0.07
Intake 4.0 Logged Out,2116.64,1520.40,17928.00,469.20,484709.50,1996.25,157.30,120.00,1800.00,0.00,36021.00,214.40,452.33,294.36,4548.96,122.88,103583.92,492.19,0.79,0.79,0.95,0.63,179.78,0.04
Logged-In Design Request,2149.48,1346.40,17190.00,0.00,380457.68,2304.61,228.09,120.00,3000.00,0.00,40372.00,354.17,582.36,360.00,5180.64,122.88,103078.44,680.21,0.72,0.72,0.86,0.00,128.05,0.08
New Project In Portal,1902.09,699.71,6460.00,475.80,13314.66,2321.88,254.14,60.00,1000.00,34.00,1779.00,368.41,553.15,228.96,1825.80,152.64,3872.04,636.89,0.68,0.67,0.73,0.66,4.79,0.03
Portal Order,2567.48,1660.75,21091.00,416.70,1360762.92,2561.57,259.92,120.00,3600.00,0.00,137758.00,388.03,630.97,390.96,6212.64,122.88,334413.82,707.56,0.75,0.76,0.85,-2.40,396.18,0.15
Quote Request,1922.87,1520.40,3605.00,1316.40,9614.36,955.14,96.00,120.00,120.00,0.00,480.00,53.67,414.99,359.04,655.00,294.36,2074.96,140.07,0.77,0.79,0.82,0.69,3.86,0.05
Reorder Button,2708.13,1654.50,51428.74,0.00,3225382.87,3545.31,314.82,150.00,7559.00,0.00,374947.00,535.00,759.88,426.72,16468.56,3.60,905021.76,1082.54,0.70,0.71,0.98,-5.50,836.17,0.21
Revision Request,2117.82,1447.44,16097.00,0.00,370618.43,2109.96,207.07,120.00,2500.00,0.00,36237.00,313.66,529.72,352.80,5258.16,122.88,92700.48,611.43,0.74,0.75,0.85,0.00,129.63,0.09
Sample Request,1560.16,1645.83,2596.75,706.20,10921.12,596.65,84.29,120.00,120.00,0.00,590.00,48.26,322.10,294.36,603.50,205.20,2254.70,135.46,0.79,0.80,0.83,0.71,5.52,0.04
Template Download,3424.03,2043.04,36725.28,598.20,130113.10,5850.69,328.63,190.00,4000.00,0.00,12488.00,642.35,747.96,517.44,6432.00,203.76,28422.52,1035.18,0.76,0.76,0.84,0.64,28.70,0.06
