chassis,amount_in_company_currency_mean,amount_in_company_currency_median,amount_in_company_currency_max,amount_in_company_currency_min,amount_in_company_currency_sum,amount_in_company_currency_std,total_deal_quantity_mean,total_deal_quantity_median,total_deal_quantity_max,total_deal_quantity_min,total_deal_quantity_sum,total_deal_quantity_std,total_sku_cost_mean,total_sku_cost_median,total_sku_cost_max,total_sku_cost_min,total_sku_cost_sum,total_sku_cost_std,gross_margin_mean,gross_margin_median,gross_margin_max,gross_margin_min,gross_margin_sum,gross_margin_std
10.00,2626.25,1520.57,137620.00,0.00,17259716.51,4182.00,315.48,150.00,20135.00,16.00,2073332.00,689.28,717.51,392.70,30624.96,114.48,4715492.12,1169.51,0.71,0.72,0.95,-10.32,4646.99,0.29
11.00,1873.88,1347.00,9917.59,526.80,54342.50,1835.83,184.59,120.00,850.00,60.00,5353.00,175.35,534.10,407.52,1883.52,203.76,15489.00,400.18,0.69,0.69,0.81,0.54,20.08,0.05
12.00,3086.26,1797.60,25228.00,0.00,428990.42,4084.89,376.56,200.00,4760.00,50.00,52342.00,611.83,786.35,475.44,6065.52,160.56,109303.16,970.27,0.72,0.74,0.85,0.00,100.11,0.10
13.00,1962.91,1684.00,5892.00,0.00,27480.70,1285.98,319.57,222.00,1200.00,200.00,4474.00,263.37,529.70,375.12,1890.72,341.28,7415.76,407.52,0.70,0.76,0.80,0.00,9.80,0.20
14.00,2560.90,1734.00,5452.91,1639.20,12804.51,1641.91,272.00,240.00,480.00,200.00,1360.00,117.98,508.10,398.16,1038.24,341.28,2540.52,297.82,0.80,0.80,0.83,0.75,3.98,0.03
15.00,2133.99,1522.80,5872.00,912.00,121637.68,1184.93,209.56,150.00,800.00,120.00,11945.00,133.69,831.77,614.88,2554.08,506.88,47411.04,457.08,0.60,0.58,0.86,0.44,34.10,0.07
17.00,4338.52,2013.58,79234.12,416.70,841672.06,7854.03,541.41,200.00,6900.00,30.00,105034.00,1039.33,1106.43,493.92,11888.64,152.64,214647.84,1730.67,0.72,0.72,0.89,0.48,139.51,0.06
18.00,1703.99,1994.40,2434.20,701.60,8519.93,700.10,136.80,120.00,240.00,30.00,684.00,97.06,452.59,493.92,660.24,122.88,2262.96,216.35,0.74,0.75,0.82,0.67,3.72,0.06
20.00,7161.41,2927.45,23633.00,925.20,114582.58,8078.55,1290.75,455.00,5000.00,120.00,20652.00,1638.35,3578.09,1416.96,13442.88,413.16,57249.36,4345.72,0.54,0.53,0.69,0.43,8.60,0.06
21.00,2961.50,2961.50,4368.00,1555.00,5923.00,1989.09,475.00,475.00,700.00,250.00,950.00,318.20,1416.12,1416.12,2116.80,715.44,2832.24,990.91,0.53,0.53,0.54,0.52,1.06,0.02
24.00,3091.20,3091.20,3091.20,3091.20,3091.20,,120.00,120.00,120.00,120.00,120.00,,426.36,426.36,426.36,426.36,426.36,,0.86,0.86,0.86,0.86,0.86,
40.00,1182.00,1182.00,1182.00,1182.00,1182.00,,120.00,120.00,120.00,120.00,120.00,,369.60,369.60,369.60,369.60,369.60,,0.69,0.69,0.69,0.69,0.69,
41.00,1133.86,1287.88,1477.50,636.19,3401.57,441.30,83.33,70.00,150.00,30.00,250.00,61.10,228.32,215.04,329.28,140.64,684.96,95.02,0.80,0.78,0.83,0.78,2.39,0.03
44.00,3045.62,1935.00,7764.00,150.40,88322.97,2328.06,386.97,215.00,1200.00,20.00,11222.00,352.29,878.95,615.60,2072.52,108.00,25489.68,624.92,0.68,0.70,0.81,0.28,19.81,0.09
45.00,4330.36,4330.36,4330.36,4330.36,4330.36,,502.00,502.00,502.00,502.00,502.00,,1383.36,1383.36,1383.36,1383.36,1383.36,,0.68,0.68,0.68,0.68,0.68,
46.00,2855.53,1709.48,55274.00,0.00,625361.62,4716.58,351.20,160.00,10000.00,60.00,76912.00,780.97,725.61,426.72,15748.80,172.08,158908.56,1232.59,0.71,0.74,0.88,-0.60,154.99,0.15
48.00,1165.11,816.97,3501.30,18.00,22137.10,837.47,107.63,60.00,485.00,20.00,2045.00,117.50,339.61,234.00,1280.16,117.00,6452.52,284.95,0.39,0.70,0.85,-5.50,7.42,1.43
49.00,1859.62,1497.60,8647.56,384.90,133892.91,1504.30,185.78,122.50,720.00,30.00,13376.00,143.38,487.61,374.94,1874.16,152.64,35108.04,336.51,0.71,0.70,0.91,0.47,51.43,0.08
55.00,2313.09,1327.35,43050.00,0.00,2451876.52,3101.32,255.65,120.00,7000.00,25.00,271244.00,434.70,613.98,369.60,10849.92,122.88,651434.40,787.38,0.71,0.72,0.93,-0.46,755.89,0.10
93.00,2925.58,1927.50,22970.43,0.00,789907.81,3006.92,0.00,0.00,0.00,0.00,0.00,0.00,618.43,360.00,6102.42,1.80,166976.99,727.53,0.75,0.79,0.98,-4.68,203.37,0.36
910.00,6860.61,2345.00,67825.00,0.00,178375.93,14201.80,0.00,0.00,0.00,0.00,0.00,0.00,2222.15,470.38,32000.00,91.52,57775.92,6451.32,0.68,0.79,0.92,-0.05,17.76,0.27
920.00,3278.67,2666.13,6183.20,175.00,36065.33,2028.85,0.00,0.00,0.00,0.00,0.00,0.00,766.27,610.00,1428.00,92.08,8428.96,444.56,0.71,0.77,0.77,0.47,7.86,0.12
