amount_in_company_currency_mean,amount_in_company_currency_max,amount_in_company_currency_min,amount_in_company_currency_sum,amount_in_company_currency_std,total_deal_quantity_mean,total_deal_quantity_max,total_deal_quantity_min,total_deal_quantity_sum,total_deal_quantity_std,total_sku_cost_mean,total_sku_cost_max,total_sku_cost_min,total_sku_cost_sum,total_sku_cost_std,gross_margin_mean,gross_margin_max,gross_margin_min,gross_margin_sum,gross_margin_std,amount_in_company_currency_mean,amount_in_company_currency_max,amount_in_company_currency_min,amount_in_company_currency_sum,amount_in_company_currency_std,total_deal_quantity_mean,total_deal_quantity_max,total_deal_quantity_min,total_deal_quantity_sum,total_deal_quantity_std,total_sku_cost_mean,total_sku_cost_max,total_sku_cost_min,total_sku_cost_sum,total_sku_cost_std,gross_margin_mean,gross_margin_max,gross_margin_min,gross_margin_sum,gross_margin_std,amount_in_company_currency_mean,amount_in_company_currency_max,amount_in_company_currency_min,amount_in_company_currency_sum,amount_in_company_currency_std,total_deal_quantity_mean,total_deal_quantity_max,total_deal_quantity_min,total_deal_quantity_sum,total_deal_quantity_std,total_sku_cost_mean,total_sku_cost_max,total_sku_cost_min,total_sku_cost_sum,total_sku_cost_std,gross_margin_mean,gross_margin_max,gross_margin_min,gross_margin_sum,gross_margin_std,amount_in_company_currency_mean,amount_in_company_currency_max,amount_in_company_currency_min,amount_in_company_currency_sum,amount_in_company_currency_std,total_deal_quantity_mean,total_deal_quantity_max,total_deal_quantity_min,total_deal_quantity_sum,total_deal_quantity_std,total_sku_cost_mean,total_sku_cost_max,total_sku_cost_min,total_sku_cost_sum,total_sku_cost_std,gross_margin_mean,gross_margin_max,gross_margin_min,gross_margin_sum,gross_margin_std,amount_in_company_currency_mean,amount_in_company_currency_max,amount_in_company_currency_min,amount_in_company_currency_sum,amount_in_company_currency_std,total_deal_quantity_mean,total_deal_quantity_max,total_deal_quantity_min,total_deal_quantity_sum,total_deal_quantity_std,total_sku_cost_mean,total_sku_cost_max,total_sku_cost_min,total_sku_cost_sum,total_sku_cost_std,gross_margin_mean,gross_margin_max,gross_margin_min,gross_margin_sum,gross_margin_std,amount_in_company_currency_mean,amount_in_company_currency_max,amount_in_company_currency_min,amount_in_company_currency_sum,amount_in_company_currency_std,total_deal_quantity_mean,total_deal_quantity_max,total_deal_quantity_min,total_deal_quantity_sum,total_deal_quantity_std,total_sku_cost_mean,total_sku_cost_max,total_sku_cost_min,total_sku_cost_sum,total_sku_cost_std,gross_margin_mean,gross_margin_max,gross_margin_min,gross_margin_sum,gross_margin_std,amount_in_company_currency_mean,amount_in_company_currency_max,amount_in_company_currency_min,amount_in_company_currency_sum,amount_in_company_currency_std,total_deal_quantity_mean,total_deal_quantity_max,total_deal_quantity_min,total_deal_quantity_sum,total_deal_quantity_std,total_sku_cost_mean,total_sku_cost_max,total_sku_cost_min,total_sku_cost_sum,total_sku_cost_std,gross_margin_mean,gross_margin_max,gross_margin_min,gross_margin_sum,gross_margin_std,amount_in_company_currency_mean,amount_in_company_currency_max,amount_in_company_currency_min,amount_in_company_currency_sum,amount_in_company_currency_std,total_deal_quantity_mean,total_deal_quantity_max,total_deal_quantity_min,total_deal_quantity_sum,total_deal_quantity_std,total_sku_cost_mean,total_sku_cost_max,total_sku_cost_min,total_sku_cost_sum,total_sku_cost_std,gross_margin_mean,gross_margin_max,gross_margin_min,gross_margin_sum,gross_margin_std
981.9,981.9,981.9,981.9,,60.0,60.0,60.0,60.0,,184.32,184.32,184.32,184.32,,5.3271484375,5.3271484375,5.3271484375,5.3271484375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3003.138858064516,137620.0,-200.0,13964595.69,4010.2003445532987,259.8610752688172,20000.0,0.0,1208354.0,488.4499784288129,614.4559741935484,30460.8,0.0,2857220.28,838.6871147834663,inf,inf,-0.47241118669690096,inf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514.156510030344,151035.11,-94.8,29827952.835,4411.77713594486,337.5194673858082,25085.0,0.0,4005006.0,779.5204195210786,752.4570773638968,43086.72,0.0,8928655.68,1313.8116161328305,inf,inf,-0.4140461215932914,inf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2686.7057320872277,53780.8,0.0,862432.54,4135.309386935294,362.8722741433022,10500.0,0.0,116482.0,757.4929739014908,816.0414953271028,15978.24,0.0,261949.32,1256.8349258425935,inf,inf,0.0,inf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,2717.231049507169,151035.11,-62.5,36389158.215,4494.122889932558,337.059882027925,25085.0,0.0,4514243.0,748.6065900130774,753.601424624804,43086.72,0.0,10092983.88,1269.9443627120033,inf,inf,-0.09823337105494782,inf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,2399.7471797850712,96543.7,-200.0,8262329.54,3459.375517621869,236.57636469221836,20135.0,0.0,814769.0,536.3170527745165,567.0815331010454,30624.96,0.0,1953028.8,873.6326234730975,inf,inf,-0.47241118669690096,inf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2634.668885088919,151035.11,-200.0,34666973.19,4333.120059647287,323.4389391291132,25085.0,16.0,4256133.0,725.9398527143255,728.2887088684549,43086.72,114.48,9583551.12,1223.8099506210344,3.6795787635518646,19.803064275037368,-0.47241118669690096,48415.89737081544,0.9941142657324791,3053.9956655290102,22970.43,0.0,894820.73,3098.789160605303,11.331058020477816,800.0,0.0,3320.0,72.82886882847806,25.121774744027306,1640.16,0.0,7360.68,157.7604846338524,inf,inf,2.6106770833333335,inf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2639.0469235400365,57200.0,0.0,4383456.94,3953.76044274476,314.31949458483757,10300.0,0.0,522399.0,677.9730651220076,712.2642599277978,17052.48,0.0,1183783.2,1141.7718588143587,inf,inf,0.0,inf,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1837.0469387755102,10272.0,526.8,90015.3,2012.8648343770337,182.48979591836735,1600.0,60.0,8942.0,252.57260692463754,526.3028571428572,3369.6,203.76,25788.84,535.5032817826609,3.382842890136292,5.265455105334692,2.1971971971971973,165.7593016166783,0.7154523645186608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2402.937762721239,96543.7,-1e-13,4344511.475,4124.861494366812,281.12223451327435,20135.0,0.0,508269.0,749.389138424923,648.4474115044247,30624.96,0.0,1172392.92,1199.5309180142467,inf,inf,-5.383290267011198e-16,inf,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3103.6825378787876,60910.0,0.0,819372.19,5392.305527088008,405.43560606060606,12000.0,16.0,107035.0,947.9835812725707,813.0004545454545,18151.92,122.76,214632.12,1454.2571229183404,3.799998618959767,6.788939051918737,0.0,1003.1996354053784,0.990090458815291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2569.378578500707,151035.11,-94.8,3633101.31,5311.507029299684,296.2876325088339,25085.0,0.0,419247.0,873.2374974590693,681.6048339222615,43086.72,0.0,964470.84,1516.703164496278,inf,inf,-0.4140461215932914,inf,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2983.1805405405403,29075.46,0.0,110377.68,4920.396469069645,586.8108108108108,10000.0,200.0,21712.0,1611.4286593964762,873.9243243243243,12024.0,313.2,32335.2,1966.2640113402608,4.147857411106642,5.474137931034483,0.0,153.47072421094575,0.9901332003935143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
