deal_id_x,po_number,order_created,total_deal_quantity,amount_in_company_currency,client_type_x,deal_type_x,special_order_type,deal_stage,automation_tools,revisions,deal_source_ca,number_of_associated_contacts,design_difficulty,SKU,chassis,total_intl_product_quantity,mfp_product_info,vendor_id,est_ship_date,submitted_to_prod,client_type_y,deal_type_y,deal_id_y,Total SKU DZ on PO,intl_unit_cost,fixed_intl_pkg_cost,total_intl_unit_cost_dont_use,total_intl_sku_cost,total_product_quantity,cost_per_sku,total_sku_cost
6324219821,21408,9/28/2021,60.0,832.2,Direct,Existing Business,,Closed and Won,Reorder Button,,,3,,40.0217365v4,40.0,,18.0,1.0,,2022-01-29,,,,5.0,,,,,60.0,2.56,184.32
6312709524,21546,9/27/2021,60.0,630.0,Distributor,Existing Business,,Closed and Won,,,Client Referral,3,Low ,10.0362603v1,10.0,,2.0,1.0,,2022-01-14,,,,5.0,,,,,60.0,2.56,184.32
6954332007,23021,11/18/2021,1000.0,6460.0,Distributor,Existing Business,,Closed and Won,,,,4,Not Rated,10.0465011v4,10.0,,2.0,1.0,,2022-01-13,,,,34.0,,,,,400.0,1.96,823.2
6954332007,23021,11/18/2021,1000.0,6460.0,Distributor,Existing Business,,Closed and Won,,,,4,Not Rated,10.0266538v3,10.0,,2.0,1.0,,2022-01-13,,,,50.0,,,,,600.0,1.88,1150.56
7049269626,23099,11/30/2021,60.0,540.0,Distributor,Existing Business,,Closed and Won,,,Pre-Hubspot Contact,3,,10.0219132v2,10.0,,2.0,1.0,,2022-01-04,,,,5.0,,,,,60.0,2.56,184.32
7229722885,23341,12/12/2021,720.0,4456.8,Distributor,Existing Business,,Closed and Won,,,Client Referral,5,,10.0262664v1,10.0,,2.0,3.0,,2022-01-04,,,,60.0,,,,,720.0,1.91,1398.12
7228918695,23350,12/12/2021,720.0,4456.8,Distributor,Existing Business,,Closed and Won,,,Client Referral,5,,10.0261832v2,10.0,,2.0,3.0,,2022-01-04,,,,60.0,,,,,720.0,1.91,1398.12
7206692764,23409,12/9/2021,135.0,1138.05,Distributor,New Business,,Closed and Won,,,,1,High Res Preview,40.0268455v1,40.0,,18.0,3.0,,2022-02-08,,,,12.0,,,,,135.0,2.49,388.44
7268646927,23431,12/16/2021,22500.0,101574.25,Distributor,Existing Business,,Closed and Won,Reorder Button,,Pre-Hubspot Contact,5,,10.0248287v1,10.0,,2.0,1.0,,2022-01-07,,,,625.0,,,,,7500.0,1.56,11718.72
7268646927,23431,12/16/2021,22500.0,101574.25,Distributor,Existing Business,,Closed and Won,Reorder Button,,Pre-Hubspot Contact,5,,10.0248289v1,10.0,,2.0,1.0,,2022-01-07,,,,625.0,,,,,7500.0,1.56,11718.72
7268646927,23431,12/16/2021,22500.0,101574.25,Distributor,Existing Business,,Closed and Won,Reorder Button,,Pre-Hubspot Contact,5,,10.0248288v1,10.0,,2.0,1.0,,2022-01-07,,,,625.0,,,,,7500.0,1.56,11718.72
7305533188,23510,12/21/2021,60.0,570.0,Distributor,Existing Business,,Closed and Won,Reorder Button,,Client Referral,3,,10.0216936v1,10.0,,2.0,1.0,,2022-01-14,,,,5.0,,,,,60.0,2.56,184.32
7316547975,23539,12/22/2021,1200.0,7008.0,Distributor,Existing Business,,Closed and Won,Portal Order,,,2,,10.0233487v3,10.0,,2.0,1.0,,2022-01-14,,,,100.0,,,,,1200.0,1.71,2072.52
7317836182,23564,12/22/2021,60.0,630.0,Distributor,New Business,,Closed and Won,,,,1,Not Rated,10.0269474v2,10.0,,2.0,1.0,,2022-01-05,,,,5.0,,,,,60.0,2.56,184.32
7320083585,23567,12/22/2021,120.0,1011.6,Distributor,Existing Business,,Closed and Won,,,Email Marketing,5,,10.0220106v1,10.0,,2.0,3.0,,2022-01-04,,,,10.0,,,,,120.0,2.58,340.56
7153600864,23586,12/6/2021,1500.0,8385.0,Distributor,Existing Business,,Closed and Won,,,,4,Low ,40.0268755v1,40.0,,18.0,3.0,,2022-01-04,,,,125.0,,,,,1500.0,1.99,3008.88
7348073348,23591,12/27/2021,100.0,1050.0,Distributor,Existing Business,,Closed and Won,Reorder Button,,Client Referral,4,,10.0213956v6,10.0,,2.0,1.0,,2022-01-05,,,,9.0,,,,,100.0,2.56,307.2
7360230708,23610,12/28/2021,1000.0,6810.0,Distributor,Existing Business,,Closed and Won,Reorder Button,,Client Referral,3,,10.0286008v2,10.0,,2.0,3.0,,2022-03-29,,,,42.0,,,,,500.0,2.41,1243.56
7360230708,23610,12/28/2021,1000.0,6810.0,Distributor,Existing Business,,Closed and Won,Reorder Button,,Client Referral,3,,10.0286009v2,10.0,,2.0,3.0,,2022-03-29,,,,42.0,,,,,500.0,2.41,1243.56
7359938656,23612,12/28/2021,60.0,630.0,Distributor,Existing Business,,Closed and Won,,,Client Referral,3,,10.0243490v1,10.0,,2.0,3.0,,2022-01-03,,,,5.0,,,,,60.0,3.66,263.52
6929865333,23615,11/15/2021,240.0,1521.6,Distributor,Existing Business,,Closed and Won,,,Pre-Hubspot Contact,5,Not Rated,14.0664724v3,14.0,,6.0,3.0,,2022-01-06,,,,20.0,,,,,240.0,1.45,365.4
7359574954,23616,12/28/2021,420.0,2868.6,Distributor,New Business,,Closed and Won,,,,1,Not Rated,10.0268515v1,10.0,,2.0,1.0,,2022-01-04,,,,35.0,,,,,420.0,1.96,846.72
7366207144,23628,12/29/2021,60.0,648.0,Distributor,Existing Business,,Closed and Won,,,Email Marketing,2,,10.0233252v1,10.0,,2.0,3.0,,2022-01-03,,,,5.0,,,,,60.0,3.66,263.52
7214232645,23632,12/10/2021,250.0,1832.5,Distributor,Existing Business,,Closed and Won,,,Client Referral,3,Medium ,10.0268422v1,10.0,,2.0,1.0,,2022-01-06,,,,21.0,,,,,250.0,1.96,517.44
7251292225,23635,12/14/2021,1200.0,8112.0,Distributor,Existing Business,,Closed and Won,,,Client Referral,3,Not Rated,10.0268883v1,10.0,,2.0,1.0,,2022-01-10,,,,50.0,,,,,600.0,1.88,1150.56
7251292225,23635,12/14/2021,1200.0,8112.0,Distributor,Existing Business,,Closed and Won,,,Client Referral,3,Not Rated,10.0268884v1,10.0,,2.0,1.0,,2022-01-10,,,,50.0,,,,,600.0,1.88,1150.56
7373266280,23637,12/30/2021,60.0,698.06,Distributor,Existing Business,,Closed and Won,,,Client Referral,3,,10.0244900v1,10.0,,2.0,3.0,,2022-01-03,,,,5.0,,,,,60.0,3.66,263.52
7373472010,23638,12/30/2021,80.0,840.0,Distributor,Existing Business,,Closed and Won,,,Client Referral,3,,10.0367285v1,10.0,,2.0,4.0,,2022-01-03,,,,7.0,,,,,80.0,2.58,247.68
7374493346,23639,12/30/2021,720.0,4456.8,Distributor,Existing Business,,Closed and Won,,,Client Referral,3,,10.0242507v1,10.0,,2.0,1.0,,2022-01-05,,,,60.0,,,,,720.0,1.79,1310.28
7349101418,23640,12/27/2021,60.0,630.0,Distributor,Existing Business,,Closed and Won,,,Client Referral,2,Not Rated,10.0355894v1,10.0,,2.0,3.0,,2022-01-03,,,,5.0,,,,,60.0,3.66,263.52
7374482177,23641,12/30/2021,720.0,4456.8,Distributor,Existing Business,,Closed and Won,,,Client Referral,2,,10.0242505v1,10.0,,2.0,1.0,,2022-01-05,,,,60.0,,,,,720.0,1.79,1310.28
7375458432,23642,12/30/2021,720.0,4644.0,Distributor,Existing Business,,Closed and Won,Reorder Button,,Client Referral,4,,10.0242508v1,10.0,,2.0,1.0,,2022-01-05,,,,60.0,,,,,720.0,1.79,1310.28
7260159384,23643,12/15/2021,120.0,891.6,Distributor,Existing Business,,Closed and Won,,,Client Referral,4,High Res Preview,10.0268970v2,10.0,,2.0,1.0,,2022-01-04,,,,10.0,,,,,120.0,2.23,294.36
7375436172,23644,12/30/2021,500.0,3025.0,Distributor,Existing Business,,Closed and Won,Reorder Button,,,4,,10.0258859v2,10.0,,2.0,1.0,,2022-01-05,,,,42.0,,,,,500.0,1.96,1011.36
6877319352,23646,11/8/2021,60.0,558.0,Distributor,Existing Business,,Closed and Won,Sample Request,,,1,High Res Preview,40.0269789v1,40.0,,18.0,3.0,,2022-01-01,,,,5.0,,,,,60.0,3.74,269.28
7374492534,23647,12/30/2021,60.0,588.0,Distributor,Existing Business,,Closed and Won,,,Pre-Hubspot Contact,2,Not Rated,10.0225551v1,10.0,,2.0,1.0,,2022-01-05,,,,5.0,,,,,60.0,2.56,184.32
6901251188,23648,11/11/2021,130.0,1095.9,Distributor,New Business,,Closed and Won,Intake 2.0 Edward,,,1,High Res Preview,10.0264394v2,10.0,,2.0,3.0,,2022-01-03,,,,11.0,,,,,130.0,2.58,371.52
6774450743,23649,10/28/2021,500.0,3280.0,Wholesale,New Business,,Closed and Won,,,Client Referral,4,Low ,10.0269321v1,10.0,,2.0,1.0,,2022-01-03,,,,42.0,,,,,500.0,1.96,1011.36
7401612331,23650,1/3/2022,255.0,1948.2,Distributor,Existing Business,,Closed and Won,,,Client Referral,2,Low ,10.0270019v1,10.0,,2.0,1.0,,2022-01-03,,,,22.0,,,,,255.0,1.96,540.96
7358982550,23651,12/28/2021,60.0,648.0,Direct,New Business,,Closed and Won,Intake 2.0 Edward,,,1,High Res Preview,10.0269859v3,10.0,,2.0,3.0,,2022-01-03,,,,5.0,,,,,60.0,3.66,263.52
7401647032,23653,1/3/2022,245.0,1781.15,Distributor,Existing Business,,Closed and Won,,,Client Referral,2,,10.0243490v1,10.0,,2.0,1.0,,2022-01-03,,,,10.0,,,,,120.0,2.23,294.36
7401647032,23653,1/3/2022,245.0,1781.15,Distributor,Existing Business,,Closed and Won,,,Client Referral,2,,10.0346079v1,10.0,,2.0,1.0,,2022-01-03,,,,11.0,,,,,125.0,2.23,321.12
7404278933,23654,1/3/2022,240.0,0.0,Distributor,Existing Business,,Closed and Won,,,,3,,10.0258859v2,10.0,,2.0,2.0,,2022-01-07,,,,20.0,,,,,240.0,1.86,468.72
7205565285,23655,12/9/2021,250.0,1797.5,Distributor,Existing Business,,Closed and Won,Intake 2.0 Edward,,,2,High Res Preview,40.0268697v1,40.0,,18.0,1.0,,2022-01-03,,,,21.0,,,,,250.0,1.96,517.44
7402030775,23656,1/3/2022,60.0,660.0,Distributor,Existing Business,,Closed and Won,,,Client Referral,2,,10.0243490v1,10.0,,2.0,3.0,,2022-01-03,,,,5.0,,,,,60.0,3.66,263.52
7404066576,23657,1/3/2022,240.0,1286.4,Distributor,Existing Business,,Closed and Won,Reorder Button,,Direct Traffic,2,,10.0230442v1,10.0,,2.0,4.0,,2022-01-03,,,,20.0,,,,,240.0,2.41,607.32
7277942125,23658,12/17/2021,120.0,1575.82,Direct,New Business,,Closed and Won,Intake 2.0 Edward,,,2,Low ,10.0269418v1,10.0,,2.0,1.0,,2022-01-03,,,,10.0,,,,,120.0,2.23,294.36
7404304680,23659,1/3/2022,100.0,1100.0,Distributor,Existing Business,,Closed and Won,,,Client Referral,4,,10.0235654v6,10.0,,2.0,3.0,,2022-01-03,,,,9.0,,,,,100.0,3.58,429.6
7404688437,23660,1/3/2022,120.0,1057.2,Distributor,Existing Business,,Closed and Won,,,Client Referral,3,,10.0219958v2,10.0,,2.0,1.0,,2022-01-05,,,,10.0,,,,,120.0,2.23,294.36
7372789840,23661,12/30/2021,114.0,861.84,Distributor,Existing Business,,Closed and Won,,,Client Referral,3,Low ,10.0270089v1,10.0,,2.0,3.0,,2022-01-04,,,,10.0,,,,,114.0,2.58,340.56
7372291164,23662,12/30/2021,100.0,756.0,Distributor,Existing Business,,Closed and Won,,,Client Referral,3,Low ,10.0270093v1,10.0,,2.0,3.0,,2022-01-04,,,,9.0,,,,,100.0,3.58,429.6
6911101084,23663,11/12/2021,200.0,1436.0,Distributor,Existing Business,,Closed and Won,,,Pre-Hubspot Contact,2,Low ,10.0263906v2,10.0,,2.0,1.0,,2022-01-04,,,,17.0,,,,,200.0,1.96,423.36
7405816473,23664,1/3/2022,60.0,600.0,Distributor,Existing Business,,Closed and Won,,,Client Referral,2,,10.0367285v1,10.0,,2.0,4.0,,2022-01-04,,,,5.0,,,,,60.0,2.58,185.76
7405329036,23665,1/3/2022,304.0,2398.56,Distributor,Existing Business,,Closed and Won,,,,2,Not Rated,10.0270122v1,10.0,,2.0,1.0,,2022-01-04,,,,26.0,,,,,304.0,1.96,635.04
7411371306,23666,1/4/2022,120.0,1057.2,Distributor,Existing Business,,Closed and Won,Reorder Button,,,1,,10.0231138v1,10.0,,2.0,1.0,,2022-01-04,,,,10.0,,,,,120.0,2.23,294.36
7266931795,23667,12/16/2021,8450.0,42672.5,Distributor,New Business,,Closed and Won,,,,1,Not Rated,10.0269791v2,10.0,,2.0,3.0,,2022-01-11,,,,292.0,,,,,3500.0,1.62,5695.92
7266931795,23667,12/16/2021,8450.0,42672.5,Distributor,New Business,,Closed and Won,,,,1,Not Rated,10.0269787v2,10.0,,2.0,3.0,,2022-01-11,,,,413.0,,,,,4950.0,1.62,8048.16
7413142021,23670,1/4/2022,300.0,2082.0,Distributor,Existing Business,,Closed and Won,,,Client Referral,3,,10.0247304v1,10.0,,2.0,3.0,,2022-01-04,,,,13.0,,,,,150.0,2.41,404.88
7413142021,23670,1/4/2022,300.0,2082.0,Distributor,Existing Business,,Closed and Won,,,Client Referral,3,,10.0247303v1,10.0,,2.0,3.0,,2022-01-04,,,,13.0,,,,,150.0,2.41,404.88
6708522764,23671,10/20/2021,60.0,881.37,Direct,Existing Business,,Closed and Won,,,,1,,10.0258409v1,10.0,,2.0,1.0,,2022-01-04,,,,5.0,,,,,60.0,2.56,184.32
7413916944,23673,1/4/2022,1200.0,7008.0,Distributor,Existing Business,,Closed and Won,Reorder Button,,Client Referral,3,,10.0220391v2,10.0,,2.0,1.0,,2022-01-04,,,,100.0,,,,,1200.0,1.71,2072.52
7413810268,23674,1/4/2022,120.0,1027.2,Distributor,Existing Business,,Closed and Won,Reorder Button,,Pre-Hubspot Contact,4,,10.0247327v1,10.0,,2.0,4.0,,2022-01-14,,,,10.0,,,,,120.0,2.58,340.56
7413801739,23675,1/4/2022,60.0,570.0,Distributor,Existing Business,,Closed and Won,Reorder Button,,,3,,10.0218569v2,10.0,,2.0,1.0,,2022-01-04,,,,5.0,,,,,60.0,2.56,184.32
7310237345,23676,12/21/2021,75.0,825.0,Distributor,Existing Business,,Closed and Won,,,Client Referral,2,Not Rated,10.0269435v1,10.0,,2.0,1.0,,2022-01-04,,,,7.0,,,,,75.0,2.56,245.76
7212939158,23677,12/10/2021,63.0,693.0,Distributor,Existing Business,,Closed and Won,,,Pre-Hubspot Contact,4,Not Rated,10.0268460v1,10.0,,2.0,1.0,,2022-01-05,,,,6.0,,,,,63.0,2.56,215.04
7001057910,23678,11/24/2021,500.0,3440.0,Distributor,New Business,,Closed and Won,,,,2,Low ,40.0268737v1,40.0,,18.0,1.0,,2022-01-05,,,,21.0,,,,,250.0,1.96,517.44
7001057910,23678,11/24/2021,500.0,3440.0,Distributor,New Business,,Closed and Won,,,,2,Low ,40.0268738v1,40.0,,18.0,1.0,,2022-01-05,,,,21.0,,,,,250.0,1.96,517.44
6222625072,23679,9/15/2021,60.0,832.2,Direct,New Business,,Closed and Won,Intake 2.0 Jacob,,,2,Medium ,17.0250994v3,17.0,,9.0,1.0,,2022-01-18,,,,5.0,,,,,60.0,2.56,184.32
7414563651,23680,1/4/2022,60.0,660.0,Distributor,Existing Business,,Closed and Won,Reorder Button,,Pre-Hubspot Contact,3,,10.0262795v1,10.0,,2.0,3.0,,2022-01-05,,,,5.0,,,,,60.0,3.66,263.52
7249409043,23681,12/14/2021,1003.0,6569.65,Distributor,Existing Business,,Closed and Won,New Project In Portal,,Pre-Hubspot Contact,2,High Res Preview,10.0268679v2,10.0,,2.0,3.0,,2022-01-05,,,,84.0,,,,,1002.0,1.91,1948.2
7415368994,23682,1/4/2022,120.0,1446.0,Direct,Existing Business,,Closed and Won,Reorder Button,,,2,,10.0258092v3,10.0,,2.0,1.0,,2022-01-04,,,,10.0,,,,,120.0,2.23,294.36
7374217225,23683,12/30/2021,60.0,558.0,Distributor,Existing Business,,Closed and Won,,,Pre-Hubspot Contact,2,Not Rated,10.0270012v1,10.0,,2.0,3.0,,2022-01-05,,,,5.0,,,,,60.0,3.66,263.52
7364556082,23684,12/29/2021,120.0,907.2,Distributor,Existing Business,,Closed and Won,,,,4,High Res Preview,10.0269935v1,10.0,,2.0,3.0,,2022-01-06,,,,10.0,,,,,120.0,2.58,340.56
7264080394,23687,12/16/2021,150.0,2002.17,Direct,Existing Business,,Closed and Won,,,Email Marketing,3,Not Rated,10.0235627v2,10.0,,2.0,4.0,,2022-01-05,,,,13.0,,,,,150.0,2.41,404.88
7402035260,23688,1/3/2022,60.0,660.0,Distributor,Existing Business,,Closed and Won,,,Client Referral,2,Low ,40.0270081v2,40.0,,18.0,1.0,,2022-01-05,,,,5.0,,,,,60.0,2.56,184.32
7365208869,23689,12/29/2021,120.0,1296.0,Direct,Existing Business,,Closed and Won,Intake 2.0 Edward,,,1,Not Rated,10.0269882v4,10.0,,2.0,3.0,,2022-01-05,,,,10.0,,,,,120.0,2.58,340.56
7246241396,23690,12/14/2021,300.0,3497.67,Direct,Existing Business,,Closed and Won,,,,1,,10.0267591v5,10.0,,2.0,3.0,,2022-01-05,,,,25.0,,,,,300.0,2.41,751.92
7373361307,23691,12/30/2021,1000.0,7060.0,Distributor,Existing Business,,Closed and Won,,,Pre-Hubspot Contact,2,Not Rated,10.0270038v1,10.0,,2.0,3.0,,2022-01-05,,,,42.0,,,,,500.0,2.41,1243.56
7186187138,23692,12/7/2021,240.0,1833.6,Wholesale,Existing Business,,Closed and Won,,,,1,Not Rated,10.0267904v1,10.0,,2.0,1.0,,2022-01-05,,,,20.0,,,,,240.0,1.96,493.92
7420402212,23693,1/5/2022,2528.0,14024.33,Distributor,Existing Business,,Closed and Won,,,Pre-Hubspot Contact,2,,10.0227001v1,10.0,,2.0,3.0,,2022-01-05,,,,211.0,,,,,2528.0,1.62,4121.28
7328725676,23694,12/23/2021,305.0,2330.2,Distributor,Existing Business,,Closed and Won,,,Pre-Hubspot Contact,2,Low ,40.0269805v1,40.0,,18.0,3.0,,2022-01-05,,,,26.0,,,,,305.0,2.49,806.76
7420463726,23695,1/5/2022,60.0,630.0,Distributor,Existing Business,,Closed and Won,,,Pre-Hubspot Contact,2,,10.0227001v1,10.0,,2.0,3.0,,2022-01-05,,,,5.0,,,,,60.0,3.66,263.52
7415157138,23696,1/4/2022,120.0,1575.82,Direct,New Business,,Closed and Won,Intake 2.0 Edward,,,1,High Res Preview,10.0270244v2,10.0,,2.0,1.0,,2022-01-05,,,,10.0,,,,,120.0,2.23,294.36
7422876204,23697,1/5/2022,960.0,6556.8,Distributor,Existing Business,,Closed and Won,,,Pre-Hubspot Contact,3,,10.0234631v2,10.0,,2.0,1.0,,2022-01-05,,,,40.0,,,,,480.0,1.96,964.32
7422876204,23697,1/5/2022,960.0,6556.8,Distributor,Existing Business,,Closed and Won,,,Pre-Hubspot Contact,3,,10.0234630v2,10.0,,2.0,1.0,,2022-01-05,,,,40.0,,,,,480.0,1.96,964.32
7415235956,23698,1/4/2022,194.0,1466.64,Distributor,Existing Business,,Closed and Won,Intake 2.0 Edward,,,1,Not Rated,10.0270301v1,10.0,,2.0,1.0,,2022-01-05,,,,17.0,,,,,194.0,1.96,423.36
7403473721,23699,1/3/2022,480.0,3331.2,Distributor,Existing Business,,Closed and Won,,,,2,Low ,10.0270149v1,10.0,,2.0,3.0,,2022-01-06,,,,20.0,,,,,240.0,2.41,607.32
7403473721,23699,1/3/2022,480.0,3331.2,Distributor,Existing Business,,Closed and Won,,,,2,Low ,10.0270148v1,10.0,,2.0,3.0,,2022-01-06,,,,20.0,,,,,240.0,2.41,607.32
7414271100,23700,1/4/2022,500.0,3549.0,Distributor,Existing Business,,Closed and Won,,,Client Referral,4,,10.0170346v1,10.0,,2.0,1.0,,2022-01-05,,,,13.0,,,,,150.0,1.96,329.28
7414271100,23700,1/4/2022,500.0,3549.0,Distributor,Existing Business,,Closed and Won,,,Client Referral,4,,10.0370345v1,10.0,,2.0,1.0,,2022-01-05,,,,30.0,,,,,350.0,1.96,729.12
7059472929,23701,12/1/2021,255.0,1769.7,Distributor,Existing Business,,Closed and Won,,,Client Referral,2,Not Rated,10.0266977v1,10.0,,2.0,1.0,,2022-01-05,,,,22.0,,,,,255.0,1.96,540.96
7235139351,23702,12/13/2021,250.0,1910.0,Distributor,New Business,,Closed and Won,,,,2,High Res Preview,10.0268498v1,10.0,,2.0,1.0,,2022-01-05,,,,21.0,,,,,250.0,1.96,517.44
7415580986,23703,1/4/2022,60.0,660.0,Distributor,Existing Business,,Closed and Won,,,,2,High Res Preview,10.0270352v1,10.0,,2.0,1.0,,2022-01-05,,,,5.0,,,,,60.0,2.56,184.32
7321096783,23704,12/22/2021,60.0,636.0,Distributor,New Business,,Closed and Won,,,,1,Not Rated,12.0269542v2,12.0,,4.0,1.0,,2022-01-05,,,,5.0,,,,,60.0,2.1,151.2
7421077347,23705,1/5/2022,500.0,3235.0,Distributor,Existing Business,,Closed and Won,,,Client Referral,3,,10.0255490v2,10.0,,2.0,1.0,,2022-01-05,,,,42.0,,,,,500.0,1.96,1011.36
7421809505,23706,1/5/2022,61.0,579.5,Distributor,New Business,,Closed and Won,,,,1,Not Rated,10.0270470v1,10.0,,2.0,1.0,,2022-01-06,,,,6.0,,,,,61.0,2.56,215.04
7405639516,23707,1/3/2022,240.0,1893.6,Distributor,Existing Business,,Closed and Won,,,,2,,10.0220458v1,10.0,,2.0,3.0,,2022-01-06,,,,20.0,,,,,240.0,2.41,607.32
7426009705,23708,1/5/2022,180.0,1800.0,Distributor,Existing Business,,Closed and Won,,,Client Referral,2,,10.0243490v1,10.0,,2.0,4.0,,2022-01-10,,,,5.0,,,,,60.0,2.58,185.76
7426009705,23708,1/5/2022,180.0,1800.0,Distributor,Existing Business,,Closed and Won,,,Client Referral,2,,10.0155893v1,10.0,,2.0,4.0,,2022-01-10,,,,5.0,,,,,60.0,2.58,185.76
7426009705,23708,1/5/2022,180.0,1800.0,Distributor,Existing Business,,Closed and Won,,,Client Referral,2,,10.0367285v1,10.0,,2.0,4.0,,2022-01-10,,,,5.0,,,,,60.0,2.58,185.76
7423054636,23709,1/5/2022,80.0,604.8,Distributor,Existing Business,,Closed and Won,,,Client Referral,3,Not Rated,10.0270463v1,10.0,,2.0,4.0,,2022-01-06,,,,7.0,,,,,80.0,2.58,247.68
7346900045,23711,12/27/2021,250.0,1910.0,Distributor,Existing Business,,Closed and Won,,,Pre-Hubspot Contact,2,High Res Preview,10.0269873v3,10.0,,2.0,3.0,,2022-01-06,,,,21.0,,,,,250.0,2.41,636.24
7365808958,23712,12/29/2021,76.0,836.0,Distributor,Existing Business,,Closed and Won,,,Pre-Hubspot Contact,3,Not Rated,10.0255228v1,10.0,,2.0,3.0,,2022-01-06,,,,7.0,,,,,76.0,3.66,351.36
7426426742,23713,1/5/2022,62.0,682.0,Distributor,Existing Business,,Closed and Won,Reorder Button,,Pre-Hubspot Contact,3,,10.0265893v1,10.0,,2.0,4.0,,2022-01-06,,,,6.0,,,,,62.0,2.58,216.72
7310425103,23714,12/21/2021,750.0,4240.91,Distributor,Existing Business,,Closed and Won,,,Pre-Hubspot Contact,3,Not Rated,10.0269415v1,10.0,,2.0,3.0,,2022-01-06,,,,42.0,,,,,500.0,2.41,1243.56
7426794879,23715,1/5/2022,360.0,2268.0,Distributor,Existing Business,,Closed and Won,Reorder Button,,Pre-Hubspot Contact,2,,17.0239478v2,17.0,,9.0,3.0,,2022-01-06,,,,30.0,,,,,360.0,2.41,896.52
7426075729,23716,1/5/2022,300.0,2117.0,Distributor,Existing Business,,Closed and Won,,,Pre-Hubspot Contact,1,,10.0266586v1,10.0,,2.0,1.0,,2022-01-06,,,,25.0,,,,,300.0,1.96,611.52
7421043038,23717,1/5/2022,60.0,904.2,Direct,New Business,,Closed and Won,Knitted Mockup Tool,,Organic Search,2,Knitted Mockup Tool,10.0270368v1,10.0,,2.0,4.0,,2022-01-10,,,,5.0,,,,,60.0,2.58,185.76
7421570726,23718,1/5/2022,240.0,1833.6,Distributor,Existing Business,,Closed and Won,,,Client Referral,2,,10.0269645v1,10.0,,2.0,1.0,,2022-01-06,,,,20.0,,,,,240.0,1.96,493.92
7430328912,23719,1/6/2022,360.0,2919.6,Distributor,Existing Business,,Closed and Won,Reorder Button,,Client Referral,5,,10.0259238v1,10.0,,2.0,1.0,,2022-01-12,,,,15.0,,,,,180.0,1.96,376.32
7430328912,23719,1/6/2022,360.0,2919.6,Distributor,Existing Business,,Closed and Won,Reorder Button,,Client Referral,5,,10.0259240v2,10.0,,2.0,1.0,,2022-01-12,,,,15.0,,,,,180.0,1.96,376.32
5813941811,23721,7/30/2021,150.0,1077.0,Distributor,New Business,,Closed and Won,,,Pre-Hubspot Contact,4,High Res Preview,10.0244479v1,10.0,,2.0,1.0,,2022-01-07,,,,13.0,,,,,150.0,1.96,329.28
7380636528,23722,12/31/2021,240.0,1742.4,Distributor,Existing Business,,Closed and Won,,,,1,,13.0561511v3,13.0,,5.0,3.0,,2022-01-06,,,,20.0,,,,,240.0,1.45,365.4
7432264098,23723,1/6/2022,60.0,904.2,Direct,Existing Business,,Closed and Won,Reorder Button,,,1,,10.0221637v6,10.0,,2.0,4.0,,2022-01-06,,,,5.0,,,,,60.0,2.58,185.76
7432425100,23724,1/6/2022,660.0,5373.43,Distributor,Existing Business,,Closed and Won,,,,1,,15.0264150v1,15.0,,7.0,3.0,,2022-01-06,,,,55.0,,,,,660.0,3.28,2204.16
7425736006,23725,1/5/2022,120.0,1113.09,Distributor,Existing Business,,Closed and Won,,,Pre-Hubspot Contact,3,Not Rated,10.0270549v2,10.0,,2.0,1.0,,2022-01-11,,,,10.0,,,,,120.0,2.23,294.36
7373741462,23726,12/30/2021,2650.0,14204.0,Distributor,Existing Business,,Closed and Won,,,Client Referral,4,Not Rated,10.0270171v1,10.0,,2.0,3.0,,2022-01-06,,,,220.0,,,,,2634.0,1.62,4296.24
