Statistic,Column,Value
Count,total_deal_quantity,16839.0
Sum,total_deal_quantity,5330262.0
Mean,total_deal_quantity,316.54266880456083
Median,total_deal_quantity,149.0
Min,total_deal_quantity,0.0
Max,total_deal_quantity,25085.0
Std,total_deal_quantity,711.4816228971831
Q1,total_deal_quantity,80.0
Q3,total_deal_quantity,300.0
Count,amount_in_company_currency,16837.0
Sum,amount_in_company_currency,44659649.364999995
Mean,amount_in_company_currency,2652.4707112312167
Median,amount_in_company_currency,1550.5
Min,amount_in_company_currency,-200.0
Max,amount_in_company_currency,151035.11
Std,amount_in_company_currency,4304.419759802012
Q1,amount_in_company_currency,962.4
Q3,amount_in_company_currency,2855.09
Count,number_of_associated_contacts,16839.0
Sum,number_of_associated_contacts,32629.0
Mean,number_of_associated_contacts,1.937704139200665
Median,number_of_associated_contacts,2.0
Min,number_of_associated_contacts,0.0
Max,number_of_associated_contacts,8.0
Std,number_of_associated_contacts,0.9107862068300532
Q1,number_of_associated_contacts,1.0
Q3,number_of_associated_contacts,2.0
Count,total_intl_product_quantity,16839.0
Sum,total_intl_product_quantity,249841.0
Mean,total_intl_product_quantity,14.837044955163607
Median,total_intl_product_quantity,0.0
Min,total_intl_product_quantity,0.0
Max,total_intl_product_quantity,50000.0
Std,total_intl_product_quantity,426.1247863970509
Q1,total_intl_product_quantity,0.0
Q3,total_intl_product_quantity,0.0
Count,Total SKU DZ on PO,16839.0
Sum,Total SKU DZ on PO,469678.0
Mean,Total SKU DZ on PO,27.8922738879981
Median,Total SKU DZ on PO,13.0
Min,Total SKU DZ on PO,1.0
Max,Total SKU DZ on PO,4167.0
Std,Total SKU DZ on PO,68.71351749783203
Q1,Total SKU DZ on PO,9.0
Q3,Total SKU DZ on PO,26.0
Count,cost_per_sku,16491.0
Sum,cost_per_sku,40822.85
Mean,cost_per_sku,2.4754623734158026
Median,cost_per_sku,2.54
Min,cost_per_sku,1.2
Max,cost_per_sku,4.18
Std,cost_per_sku,0.45181678597624425
Q1,cost_per_sku,2.01
Q3,cost_per_sku,2.71
Count,total_sku_cost,16839.0
Sum,total_sku_cost,12048738.72
Mean,total_sku_cost,715.5257865668983
Median,total_sku_cost,404.88
Min,total_sku_cost,0.0
Max,total_sku_cost,43086.72
Std,total_sku_cost,1201.8853536493275
Q1,total_sku_cost,281.03999999999996
Q3,total_sku_cost,751.92
