po_number,SKU,chassis,mfp_quantity,mfp_product_info,vendor_id,est_ship_date,submitted_at,hs_client_type,hs_dealtype,deal_id,Total SKU DZ on PO,unit_cost,fixed_cost,COGS int SKU Cost,COGS int SKU Cost exact,Total SKU on PO,cost_per_sku,COGS PKF Sock domestic SKU Cost
18176,10.0248100v1,10,,2,1,,9/21/2021,,,,13,,,,,150,1.79,300.72
18176,10.0248099v1,10,,2,1,,9/21/2021,,,,13,,,,,150,1.79,300.72
20161,10.0214479v2,10,,2,1,,7/22/2021,,,,5,,,,,60,2.29,164.88
20211,10.0245903v1,10,,2,3,,9/14/2021,,,,34,,,,,400,2.41,1012.2
20454,10.0224312v1,10,,2,1,,9/1/2021,,,,10,,,,,120,1.79,236.28
20455,10.0244025v8,10,,2,4,,8/26/2021,,,,5,,,,,60,2.58,185.76
20455,10.0244023v8,10,,2,4,,8/26/2021,,,,5,,,,,60,2.58,185.76
20455,10.0243024v12,10,,2,4,,8/26/2021,,,,5,,,,,60,2.58,185.76
20455,10.0244024v10,10,,2,4,,8/26/2021,,,,5,,,,,60,2.58,185.76
20484,10.0244867v1,10,,2,1,,9/9/2021,,,,40,,,,,480,1.79,880.68
20532,17.0242644v2,17,,9,4,,9/9/2021,,,,10,,,,,120,2.58,340.56
20537,10.0245578v1,10,,2,4,,9/10/2021,,,,5,,,,,60,2.58,185.76
20552,10.0243293v1,10,,2,3,,8/24/2021,,,,11,,,,,122,2.58,371.52
20552,10.0243293v1,10,,2,4,,8/24/2021,,,,11,,,,,128,2.58,371.52
20618,40.0245640v1,40,,18,3,,8/28/2021,,,,17,,,,,200,2.49,537.84
20688,10.0229397v1,10,,2,4,,8/27/2021,,,,25,,,,,300,2.41,751.92
20689,10.0243858v1,10,,2,3,,8/26/2021,,,,44,,,,,525,2.41,1301.4
20691,10.0242028v1,10,,2,4,,8/26/2021,,,,5,,,,,60,2.58,185.76
20691,10.0242010v1,10,,2,4,,8/26/2021,,,,5,,,,,60,2.58,185.76
20691,10.0241997v1,10,,2,4,,8/26/2021,,,,5,,,,,60,2.58,185.76
20691,10.0241987v1,10,,2,4,,8/26/2021,,,,5,,,,,60,2.58,185.76
20692,10.0237256v1,10,,2,3,,8/26/2021,,,,17,,,,,200,2.41,520.56
20692,10.0237257v1,10,,2,3,,8/26/2021,,,,17,,,,,200,2.41,520.56
20693,10.0246762v1,10,,2,1,,8/27/2021,,,,30,,,,,360,1.79,665.88
20697,10.0245527v3,10,,2,3,,8/27/2021,,,,40,,,,,480,2.41,1185.72
20698,10.0245647v1,10,,2,3,,8/26/2021,,,,40,,,,,480,2.41,1185.72
20701,10.0246092v2,10,,2,4,,8/26/2021,,,,5,,,,,60,2.58,185.76
20707,40.0245211v1,40,,18,3,,8/26/2021,,,,34,,,,,400,2.49,1045.8
20708,10.0246389v2,10,,2,3,,8/26/2021,,,,20,,,,,240,2.41,607.32
20709,10.0246844v1,10,,2,4,,8/26/2021,,,,10,,,,,120,2.58,340.56
20709,10.0246843v1,10,,2,4,,8/26/2021,,,,10,,,,,120,2.58,340.56
20712,10.0214210v1,10,,2,1,,8/26/2021,,,,5,,,,,60,2.29,164.88
20715,10.0246834v2,10,,2,4,,8/26/2021,,,,5,,,,,60,2.58,185.76
20716,10.0245928v1,10,,2,3,,8/26/2021,,,,63,,,,,750,1.91,1466.88
20717,10.0223519v2,10,,2,1,,8/26/2021,,,,5,,,,,60,2.29,164.88
20717,10.0223516v3,10,,2,1,,8/26/2021,,,,5,,,,,60,2.29,164.88
20718,10.0246805v2,10,,2,4,,8/26/2021,,,,6,,,,,61,2.58,216.72
20719,10.0246605v1,10,,2,1,,8/26/2021,,,,6,,,,,70,2.29,192.36
20719,10.0246609v4,10,,2,1,,8/26/2021,,,,6,,,,,65,2.29,192.36
20721,10.0245277v1,10,,2,4,,8/25/2021,,,,10,,,,,120,2.58,340.56
20722,10.0234803v5,10,,2,1,,8/25/2021,,,,16,,,,,190,1.79,365.16
20724,10.0241165v1,10,,2,1,,8/26/2021,,,,10,,,,,120,1.79,236.28
20725,10.0245219v4,10,,2,3,,8/26/2021,,,,13,,,,,145,2.41,404.88
20726,10.0247072v1,10,,2,3,,8/25/2021,,,,18,,,,,205,2.41,549.48
20727,40.0246796v1,40,,18,4,,8/26/2021,,,,12,,,,,140,2.58,402.48
20728,10.0247057v1,10,,2,1,,8/27/2021,,,,92,,,,,1100,1.63,1819.08
20729,10.0230607v3,10,,2,4,,8/30/2021,,,,9,,,,,100,2.58,309.6
20730,10.0246838v1,10,,2,4,,8/26/2021,,,,5,,,,,60,2.58,185.76
20731,10.0227608v2,10,,2,1,,8/26/2021,,,,5,,,,,60,2.29,164.88
20732,10.0225363v1,10,,2,4,,8/27/2021,,,,5,,,,,60,2.58,185.76
20733,12.0244076v4,12,,4,3,,8/26/2021,,,,25,,,,,300,2.16,673.92
20734,10.0247106v1,10,,2,1,,8/26/2021,,,,14,,,,,161,1.79,322.2
20734,10.0247107v1,10,,2,1,,8/26/2021,,,,14,,,,,161,1.79,322.2
20735,10.0244505v1,10,,2,4,,8/27/2021,,,,5,,,,,60,2.58,185.76
20736,10.0243604v1,10,,2,1,,8/26/2021,,,,334,,,,,4000,1.5,6030
20736,10.0243605v1,10,,2,1,,8/26/2021,,,,334,,,,,4000,1.5,6030
20737,10.0245936v2,10,,2,3,,8/27/2021,,,,20,,,,,240,2.41,607.32
20737,10.0245934v2,10,,2,3,,8/27/2021,,,,20,,,,,240,2.41,607.32
20738,10.0245915v2,10,,2,4,,8/26/2021,,,,10,,,,,120,2.58,340.56
20739,10.0247006v1,10,,2,4,,8/26/2021,,,,9,,,,,105,2.58,309.6
20742,10.0228252v7,10,,2,3,,8/26/2021,,,,20,,,,,240,2.41,607.32
20743,10.0247136v1,10,,2,4,,8/26/2021,,,,7,,,,,81,2.58,247.68
20744,10.0346875v1,10,,2,4,,8/27/2021,,,,5,,,,,60,2.58,185.76
20744,10.0246873v1,10,,2,4,,8/27/2021,,,,5,,,,,60,2.58,185.76
20744,10.0346874v1,10,,2,4,,8/27/2021,,,,5,,,,,60,2.58,185.76
20744,10.0246872v1,10,,2,4,,8/27/2021,,,,5,,,,,60,2.58,185.76
20745,20.0246724v1,20,,11,3,,8/27/2021,,,,10,,,,,120,2.99,394.68
20746,10.0245667v1,10,,2,3,,8/27/2021,,,,34,,,,,400,2.41,1012.2
20747,10.0244005v1,10,,2,1,,8/27/2021,,,,17,,,,,200,1.79,386.64
20748,10.0247115v1,10,,2,1,,8/27/2021,,,,7,,,,,75,2.29,219.84
20750,10.0241715v1,10,,2,3,,8/27/2021,,,,10,,,,,120,2.58,340.56
20752,10.0221824v6,10,,2,4,,8/27/2021,,,,13,,,,,150,2.41,404.88
20753,10.0247191v1,10,,2,4,,8/30/2021,,,,10,,,,,120,2.58,340.56
20755,10.0220062v1,10,,2,1,,8/27/2021,,,,6,,,,,63,2.29,192.36
20757,40.0246712v1,40,,18,4,,8/27/2021,,,,5,,,,,60,2.75,198
20758,10.0247071v1,10,,2,4,,8/27/2021,,,,7,,,,,75,2.58,247.68
20760,10.0227781v3,10,,2,1,,8/27/2021,,,,10,,,,,120,1.79,236.28
20761,10.0246681v1,10,,2,3,,8/27/2021,,,,30,,,,,355,2.41,896.52
20763,13.0547221v1,13,,5,3,,8/27/2021,,,,17,,,,,200,1.45,313.2
20765,10.029026v1,10,,2,1,,8/30/2021,,,,25,,,,,300,1.79,558.48
20767,40.0231174v1,40,,18,3,,8/27/2021,,,,17,,,,,200,2.49,537.84
20768,10.0221901v2,10,,2,3,,8/27/2021,,,,20,,,,,240,2.41,607.32
20769,10.0247187v1,10,,2,4,,8/28/2021,,,,10,,,,,120,2.58,340.56
20770,10.0246518v11,10,,2,1,,8/30/2021,,,,101,,,,,1201,1.54,1884.96
