deal_id_x,po_number,order_created,total_deal_quantity,amount_in_company_currency,client_type_x,deal_type_x,special_order_type,deal_stage,automation_tools,revisions,deal_source_ca,number_of_associated_contacts,design_difficulty,SKU,chassis,total_intl_product_quantity,mfp_product_info,vendor_id,est_ship_date,submitted_to_prod,client_type_y,deal_type_y,deal_id_y,Total SKU DZ on PO,intl_unit_cost,fixed_intl_pkg_cost,total_intl_unit_cost_dont_use,COGS int SKU Cost exact,total_product_quantity,cost_per_sku,total_sku_cost
16746039960,42973,12/31/2023,360,3877.2,Direct,Existing Business,,Closed and Won,Portal Order,,SAGE,1,,10.02174434v1,10,,2,1,,12/31/2023,,,,30,,,,,360,1.96,729.12
16535656017,42372,12/15/2023,35,535.15,Distributor,Existing Business,,Payment Pending,Reorder Button,,Client Referral,3,,10.02149059v3,10,,2,1,,12/29/2023,,,,3,,,,,35,3.18,152.64
16581778210,42505,12/18/2023,300,3741.23,Direct,New Business,,Closed and Won,Intake 4.0 Logged Out,,Direct Traffic,1,Low ,10.02207920v2,10,,2,1,,12/29/2023,,,,25,,,,,300,1.96,611.52
16589743498,42531,12/19/2023,500,3530,Distributor,Existing Business,,Closed and Won,,,Client Referral,2,Low ,10.02207833v1,10,,2,1,,12/29/2023,,,,42,,,,,500,1.96,1011.36
16594681927,42586,12/19/2023,250,2077.5,Distributor,Existing Business,,Closed and Won,,,Event in the Past Year,1,High Res Preview,10.02208001v2,10,,2,3,,12/29/2023,,,,21,,,,,250,2.43,641.52
16623655344,42717,12/21/2023,60,962.4,Direct,New Business,,Closed and Won,Intake 4.0 Logged In,,Organic Search,1,High Res Preview,10.02208531v4,10,,2,3,,12/29/2023,,,,5,,,,,60,2.85,205.2
16642836870,42768,12/22/2023,150,1477.5,Distributor,New Business,,Closed and Won,,,Intake,1,Low ,55.02208547v1,55,,114,1,,12/29/2023,,,,13,,,,,150,1.88,315.84
16687747941,42821,12/26/2023,120,1407,Distributor,New Business,,Payment Pending,,,Client Referral,2,,10.0249731v1,10,,2,4,,12/29/2023,,,,5,,,,,60,2.83,203.76
16687747941,42821,12/26/2023,120,1407,Distributor,New Business,,Payment Pending,,,Client Referral,2,,11.0255371v1,11,,3,4,,12/29/2023,,,,5,,,,,60,2.83,203.76
16704908126,42865,12/27/2023,120,990,Distributor,Existing Business,,Closed and Won,,,Event Longer Than 1 Year Ago,1,Low ,10.02208705v2,10,,2,3,,12/29/2023,,,,10,,,,,120,2.72,359.04
16716108842,42903,12/28/2023,120,960,Distributor,Existing Business,,Payment Pending,,,Direct Traffic,2,Low ,10.02208745v1,10,,2,1,,12/29/2023,,,,5,,,,,60,2.56,184.32
16716108842,42903,12/28/2023,120,960,Distributor,Existing Business,,Payment Pending,,,Direct Traffic,2,Low ,10.02208744v1,10,,2,1,,12/29/2023,,,,5,,,,,60,2.56,184.32
