index,po_number,SKU,chassis,mfp_quantity,mfp_product_info,vendor_id,est_ship_date,submitted_at,hs_client_type,hs_dealtype,hs_deal_id,Total SKU DZ on PO,unit_cost,fixed_cost,COGS int SKU Cost,COGS int SKU Cost exact,Total SKU on PO,cost_per_sku,COGS PKF Sock domestic SKU Cost,product_id,quantity,manufacturing_shipment_id,manufacturing_id,product_info_id,manufacturing_cart_id,units_produced,deal_id,mfc_created_at,ship_date,dozens,cost
0,28882,9102109614v1,910,2,25,5,44813,8/30/2022 19:29,Distributor,newbusiness,9797343517,1,0.76,90,108.24,91.52,,,,,,,,,,,,,,,
1,29486,9102109614v1,910,650,25,5,44858,9/21/2022 22:27,Distributor,existingbusiness,10265967985,55,0.76,90,600.72,584,,,,,,,,,,,,,,,
2,29032,9102112810v1,910,248,25,5,44841,9/6/2022 21:10,Distributor,existingbusiness,9860605745,21,0.76,90,290.64,278.48,,,,,,,,,,,,,,,
3,31259,9102115917v1,910,500,25,5,44918,11/17/2022 21:53,Direct,newbusiness,10876664637,42,0.76,90,482.16,470,,,,,,,,,,,,,,,
4,31259,9102115922v1,910,500,25,5,44918,11/17/2022 21:53,Direct,newbusiness,10876664637,42,0.76,90,482.16,470,,,,,,,,,,,,,,,
5,29779,9102116451v2,910,1200,25,5,44867,9/30/2022 21:47,Distributor,existingbusiness,10255514801,100,0.71,90,950.52,942,,,,,,,,,,,,,,,
6,30097,9102119598v1,910,500,25,5,44887,10/20/2022 21:01,Distributor,existingbusiness,10186834179,42,0.76,90,482.16,470,,,,,,,,,,,,,,,
7,30320,9102121473v1,910,500,25,5,44887,10/20/2022 21:58,Distributor,existingbusiness,9979799910,42,0.76,90,482.16,470,,,,,,,,,,,,,,,
8,31595,9102127264v4,910,500,25,5,44939,12/12/2022 20:22,Direct,existingbusiness,10985090849,42,0.76,90,482.16,470,,,,,,,,,,,,,,,
9,31595,9102127269v5,910,500,25,5,44939,12/12/2022 20:22,Direct,existingbusiness,10985090849,42,0.76,90,482.16,470,,,,,,,,,,,,,,,
10,31793,9102130181v1,910,500,25,5,44939,12/6/2022 15:12,Distributor,existingbusiness,11179768962,42,0.76,90,482.16,470,,,,,,,,,,,,,,,
11,32478,9102130181v1,910,800,25,5,44993,1/4/2023 19:56,Distributor,existingbusiness,11579599918,67,0.76,90,710.16,698,,,,,,,,,,,,,,,
12,32240,9102132985v1,910,725,25,5,44944,12/21/2022 16:40,Distributor,existingbusiness,11258020212,61,0.76,90,655.44,641,,,,,,,,,,,,,,,
13,32240,9102133142v1,910,730,25,5,44944,12/21/2022 16:40,Distributor,existingbusiness,11258020212,61,0.76,90,655.44,644.8,,,,,,,,,,,,,,,
14,32284,9102133244v1,910,500,25,5,44946,12/22/2022 17:34,Distributor,existingbusiness,11177058458,42,0.76,90,482.16,470,,,,,,,,,,,,,,,
15,39165,9102133244v1,910,500,25,5,45201,9/7/2023 22:44,Distributor,existingbusiness,15056308253,42,0.76,90,482.16,470,,,,,,,,,,,,,,,
16,32764,9102135125v2,910,600,25,5,44991,1/16/2023 22:18,Distributor,existingbusiness,10875405738,50,0.76,90,555.12,546,,,,,,,,,,,,,,,
17,32764,9102135126v2,910,600,25,5,44991,1/16/2023 22:18,Distributor,existingbusiness,10875405738,50,0.76,90,555.12,546,,,,,,,,,,,,,,,
18,34078,9102146855v1,910,2,25,5,44984,2/20/2023 13:45,Distributor,existingbusiness,11673491862,1,0.76,90,108.24,91.52,,,,,,,,,,,,,,,
19,34775,9102146855v3,910,2,25,5,45014,3/15/2023 18:46,Distributor,existingbusiness,12434937757,1,0.76,90,108.24,91.52,,,,,,,,,,,,,,,
20,35306,9102146855v3,910,18000,25,5,45126,4/4/2023 15:25,Distributor,existingbusiness,12827428515,1500,0.64,0,11527.68,11520,,,,,,,,,,,,,,,
21,35421,9102156590v1,910,2,25,5,45040,4/6/2023 21:06,Distributor,newbusiness,12105936184,1,0.76,90,108.24,91.52,,,,,,,,,,,,,,,
22,35421,9102156592v1,910,2,25,5,45040,4/6/2023 21:06,Distributor,newbusiness,12105936184,1,0.76,90,108.24,91.52,,,,,,,,,,,,,,,
23,35954,9102156592v2,910,50000,25,5,45159,4/26/2023 20:13,Distributor,newbusiness,13043768924,4167,0.64,0,32010.24,32000,,,,,,,,,,,,,,,
24,35434,9102157559v1,910,1500,25,5,45050,4/6/2023 21:57,Distributor,existingbusiness,12742086817,125,0.71,90,1163.52,1155,,,,,,,,,,,,,,,
25,37132,9102162227v1,910,500,25,5,45118,6/12/2023 16:37,Direct,newbusiness,12882793759,42,0.76,90,482.16,470,,,,,,,,,,,,,,,
26,36384,9102164654v2,910,1000,25,5,45084,5/12/2023 19:29,Distributor,existingbusiness,9714084707,84,0.76,90,865.2,850,,,,,,,,,,,,,,,
27,36436,9102164990v1,910,1000,25,5,45096,5/15/2023 20:47,Distributor,existingbusiness,13062322593,84,0.76,90,865.2,850,,,,,,,,,,,,,,,
28,36436,9102164990v1,910,1000,25,5,45100,5/15/2023 20:47,Distributor,existingbusiness,13062322593,84,0.76,90,865.2,850,,,,,,,,,,,,,,,
29,37433,9102168759v1,910,501,25,5,45125,6/27/2023 12:39,Distributor,newbusiness,13504524553,42,0.76,90,482.16,470.76,,,,,,,,,,,,,,,
30,37947,9102176163v2,910,2,25,5,45140,7/19/2023 22:20,Distributor,newbusiness,14229933099,1,0.76,90,108.24,91.52,,,,,,,,,,,,,,,
31,38779,9102176163v2,910,500,25,5,45189,8/28/2023 18:29,Distributor,existingbusiness,14722759279,42,0.76,90,482.16,470,,,,,,,,,,,,,,,
32,40032,9102176163v2,910,500,25,5,45231,10/4/2023 20:56,Distributor,existingbusiness,15444567167,42,0.76,90,482.16,470,,,,,,,,,,,,,,,
33,38940,9102183860v1,910,500,25,5,45198,9/5/2023 20:48,Wholesale,newbusiness,14782546326,42,0.76,90,482.16,470,,,,,,,,,,,,,,,
34,39086,9102184608v2,910,500,25,5,45201,9/6/2023 17:54,Distributor,existingbusiness,14879297149,42,0.76,90,482.16,470,,,,,,,,,,,,,,,
35,42608,9102184608v2,910,500,25,5,45309,12/20/2023 17:00,Distributor,existingbusiness,16604926320,42,0.76,90,482.16,470,,,,,,,,,,,,,,,
36,40672,9102194740v2,910,2135,25,5,45251,10/26/2023 14:53,Distributor,existingbusiness,15615640216,178,0.68,0,1460.64,1451.8,,,,,,,,,,,,,,,
37,42063,9102195594v2,910,501,25,5,45294,12/7/2023 22:46,Distributor,existingbusiness,15379473829,42,0.76,90,482.16,470.76,,,,,,,,,,,,,,,
38,41087,9102199541v2,910,250,25,5,45265,11/7/2023 23:46,Distributor,newbusiness,15945651267,21,0.76,90,290.64,280,,,,,,,,,,,,,,,
39,41087,9102199541v2,910,250,25,5,45266,11/7/2023 23:46,Distributor,newbusiness,15945651267,21,0.76,90,290.64,280,,,,,,,,,,,,,,,
40,41372,9102201460v1,910,400,25,5,45272,11/15/2023 21:01,Distributor,existingbusiness,15947072664,34,0.76,90,409.2,394,,,,,,,,,,,,,,,
41,41372,9102201460v1,910,100,25,5,45282,11/15/2023 21:01,Distributor,existingbusiness,15947072664,9,0.76,90,181.2,166,,,,,,,,,,,,,,,
42,42229,9102206949v1,910,500,25,5,45300,12/13/2023 20:23,Distributor,existingbusiness,16490990936,42,0.76,90,482.16,470,,,,,,,,,,,,,,,
43,42439,9102208353v1,910,500,25,5,45313,12/26/2023 18:31,Direct,existingbusiness,16576508040,42,0.76,90,482.16,470,,,,,,,,,,,,,,,
44,40801,910231092v1,910,250,25,5,45258,10/31/2023 19:21,Distributor,existingbusiness,15846001291,21,0.76,90,290.64,280,,,,,,,,,,,,,,,
45,40801,910231092v1,910,250,25,5,45278,10/31/2023 19:21,Distributor,existingbusiness,15846001291,21,0.76,90,290.64,280,,,,,,,,,,,,,,,
46,23323,910264001v2,910,500,25,5,44587,12/14/2021 0:28,Direct,existingbusiness,6824838000,42,0.76,90,482.16,470,,,,,,,,,,,,,,,
47,23323,910264001v3,910,500,25,5,44587,12/14/2021 0:28,Direct,existingbusiness,6824838000,42,0.76,90,482.16,470,,,,,,,,,,,,,,,
48,23323,910264001v5,910,500,25,5,44587,12/14/2021 0:28,Direct,existingbusiness,6824838000,42,0.76,90,482.16,470,,,,,,,,,,,,,,,
49,23150,910266115v1,910,500,25,5,44573,12/6/2021 18:45,Direct,newbusiness,6841061444,42,0.76,90,482.16,470,,,,,,,,,,,,,,,
50,24804,910282175v1,910,500,64,5,44650,2/28/2022 22:36,Direct,existingbusiness,7493209731,42,0.76,90,482.16,470,,,,,,,,,,,,,,,
51,24920,910282382v4,910,500,25,5,44657,3/8/2022 0:54,Direct,existingbusiness,7799711233,42,0.76,90,482.16,470,,,,,,,,,,,,,,,
