deal_id,po_number,Create Date - Daily,Quantity,Amount in company currency,Client Type,Deal Type,Special Order Type,Deal Stage,Automation Tools,Revisions,Deal Source CA,Number of Associated Contacts,Design Difficulty
3951840051,16733,1/6/2021,54,0,Direct,Existing Business,,Closed and Won,,,,1,
3937957448,17532,1/4/2021,90,945,Distributor,Existing Business,,Closed and Won,,,Pre-Hubspot Contact,2,
3938541962,17535,1/4/2021,240,4528.98,Direct,Existing Business,,Closed and Won,,,,1,
3943305218,17540,1/5/2021,3156,,,Existing Business,,Closed and Won,,,,0,
3943391716,17541,1/5/2021,1080,,,Existing Business,,Closed and Won,,,,0,
3939446102,17544,1/4/2021,60,540,Distributor,Existing Business,,Closed and Won,,,Client Referral,2,
3946202480,17548,1/5/2021,60,630,Distributor,Existing Business,,Closed and Won,,,Client Referral,2,
3943376468,17549,1/5/2021,90,967.5,Distributor,Existing Business,,Closed and Won,,,Client Referral,2,Not Rated
3946291441,17551,1/5/2021,120,1410,Direct,Existing Business,,Closed and Won,,,,1,
3937866372,17553,1/4/2021,126,1062.18,Distributor,Existing Business,,Closed and Won,,,Client Referral,2,Low 
3946240604,17559,1/5/2021,600,4704,Wholesale,Existing Business,,Closed and Won,,,,1,
3937991126,17564,1/4/2021,120,1410,Direct,Existing Business,,Closed and Won,,Minor (Other),,2,Medium 
3951582616,17565,1/6/2021,360,3528,Direct,Existing Business,,Closed and Won,,,,1,
3938583167,17566,1/4/2021,150,1974.43,Distributor,Existing Business,,Closed and Won,,Minor (Color Changes),Client Referral,4,Not Rated
3938150724,17569,1/4/2021,60,797.4,Direct,New Business,,Closed and Won,New Website Inquiry,,,1,Medium 
3951643013,17570,1/6/2021,800,4640,Distributor,Existing Business,,Closed and Won,,,Pre-Hubspot Contact,4,
3951594402,17572,1/6/2021,120,981.6,Distributor,Existing Business,,Closed and Won,,,Pre-Hubspot Contact,3,
3956472304,17575,1/7/2021,120,1011.6,Wholesale,Existing Business,,Closed and Won,,,,1,
